Location ID,Observed Property ID,Observed DateTime,Result Value,Result Unit,Lab: MDL,,,,,,,,,
WULE,Dissolved Reactive Phosphorus as P,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-09-02 12:00:00.000+10:00,0.5,mg/L,0.1
WULM,Dissolved Reactive Phosphorus as P,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-09-02 12:00:00.000+10:00,0.6,mg/L,0.1
WULE,Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-08-05 12:00:00.000+10:00,0.8,mg/L,0.1
WULM,Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-08-05 12:00:00.000+10:00,0.8,mg/L,0.1
WULW,Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-08-05 12:00:00.000+10:00,0.7,mg/L,0.1
WULW,Nitrite + Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-07-01 12:00:00.000+10:00,0.6,mg/L,0.1
WULM,Nitrite + Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-07-01 12:00:00.000+10:00,0.8,mg/L,0.1
WULE,Nitrite + Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-07-01 12:00:00.000+10:00,0.8,mg/L,0.1
WULW,Nitrite as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-06-03 12:00:00.000+10:00,0.7,mg/L,0.1
WULE,Nitrite as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-06-03 12:00:00.000+10:00,0.7,mg/L,0.1
WULM,Nitrite as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-06-03 12:00:00.000+10:00,0.5,mg/L,0.1
WULM,Total Kjeldahl Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.5,mg/L,0.1,,,,WULM,Total Nitrogen as N,2024-05-08 12:00:00.000+11:00,0.8,mg/L,0.1
WULE,Total Kjeldahl Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.5,mg/L,0.1,,,,WULE,Total Nitrogen as N,2024-05-08 12:00:00.000+11:00,0.8,mg/L,0.1
WULW,Total Kjeldahl Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.6,mg/L,0.1,,,,WULW,Total Nitrogen as N,2024-05-08 12:00:00.000+11:00,0.7,mg/L,0.1
WULW,Total Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,,
WULM,Total Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,,
