Location ID,Observed Property ID,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Lab: MDL,Latitude,Longitude
FB,Potentially Toxic Cyanobacteria,2023-02-06 18:14:00.000+10:00,,,LAB,451,cells/ml,,-33.7272,150.692296
FB,Raphidiopsis raciborskii_Cell count,2023-02-06 18:14:00.000+10:00,,,LAB,382,cells/ml,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria Biovolume,2023-02-06 18:14:00.000+10:00,,,LAB,0.012,mm3/l,,-33.7272,150.692296
FB,Dissolved Reactive Phosphorus as P,2023-02-20 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Nitrate as N,2023-02-20 12:00:00.000+10:00,,,LAB,0.02,mg/L,0.01,-33.7272,150.692296
FB,Ammonia as N,2023-02-20 12:00:00.000+10:00,,,LAB,0.02,mg/L,0.01,-33.7272,150.692296
FB,Nitrite + Nitrate as N,2023-02-20 12:00:00.000+10:00,,,LAB,0.02,mg/L,0.01,-33.7272,150.692296
FB,Nitrite as N,2023-02-20 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total Phosphorus as P,2023-02-20 12:00:00.000+10:00,,,LAB,0.03,mg/L,0.01,-33.7272,150.692296
FB,Total Kjeldahl Nitrogen as N,2023-02-20 12:00:00.000+10:00,,,LAB,0.6,mg/L,0.1,-33.7272,150.692296
FB,Total Nitrogen as N,2023-02-20 12:00:00.000+10:00,,,LAB,0.6,mg/L,0.1,-33.7272,150.692296
FB,Total suspended solids,2023-02-20 12:00:00.000+10:00,,,LAB,,mg/L,5,-33.7272,150.692296
FB,Aphanizomenonaceae_Biovolume,2023-02-20 17:01:00.000+10:00,,,LAB,0.068,mm3/l,,-33.7272,150.692296
FB,Raphidiopsis raciborskii_Cell count,2023-02-20 17:01:00.000+10:00,,,LAB,6417,cells/ml,,-33.7272,150.692296
